Frequency   	S[1,1]_Mag  	S[1,1]_Phs  	S[1,2]_Mag  	S[1,2]_Phs  	S[1,3]_Mag  	S[1,3]_Phs  	S[1,4]_Mag  	S[1,4]_Phs  	S[2,1]_Mag  	S[2,1]_Phs  	S[2,2]_Mag  	S[2,2]_Phs  	S[2,3]_Mag  	S[2,3]_Phs  	S[2,4]_Mag  	S[2,4]_Phs  	S[3,1]_Mag  	S[3,1]_Phs  	S[3,2]_Mag  	S[3,2]_Phs  	S[3,3]_Mag  	S[3,3]_Phs  	S[3,4]_Mag  	S[3,4]_Phs  	S[4,1]_Mag  	S[4,1]_Phs  	S[4,2]_Mag  	S[4,2]_Phs  	S[4,3]_Mag  	S[4,3]_Phs  	S[4,4]_Mag  	S[4,4]_Phs  	
2.398832919019490E+00 	2.127689455018001E-03  	-3.114845152590510E-04  	9.978570687110880E-01  	-1.473260458685400E-06  	9.720088757673679E-06  	1.934353950170290E-02  	8.357994808328889E-06  	1.799786947381350E+02  	9.978570687110880E-01  	-1.473260458685400E-06  	2.127866585204350E-03  	-3.138442370142830E-04  	8.473081332779699E-06  	1.799789240337730E+02  	9.580081182520567E-06  	1.971200986754601E-02  	9.720088757673679E-06  	1.934353950170290E-02  	8.473081332779699E-06  	1.799789240337730E+02  	1.254842336833210E-04  	-9.033372354660169E-03  	9.998584902367510E-01  	-1.248031712997230E-06  	8.357994808328889E-06  	1.799786947381350E+02  	9.580081182520567E-06  	1.971200986754601E-02  	9.998584902367510E-01  	-1.248031712997230E-06  	1.255243527077210E-04  	-9.034004446194913E-03  	
2.511886431509580E+00 	2.127689455021030E-03  	-3.261643282041320E-04  	9.978570687110880E-01  	-1.542693085001350E-06  	9.720088811110603E-06  	2.025517235834659E-02  	8.357994864056599E-06  	1.799776906521770E+02  	9.978570687110880E-01  	-1.542693085001350E-06  	2.127866585207420E-03  	-3.286352602194801E-04  	8.473081388065048E-06  	1.799779307541820E+02  	9.580081237213560E-06  	2.064100819320780E-02  	9.720088811110603E-06  	2.025517235834659E-02  	8.473081388065048E-06  	1.799779307541820E+02  	1.254842338337300E-04  	-9.459102070181259E-03  	9.998584902367510E-01  	-1.306849635551850E-06  	8.357994864056599E-06  	1.799776906521770E+02  	9.580081237213560E-06  	2.064100819320780E-02  	9.998584902367510E-01  	-1.306849635551850E-06  	1.255243528582000E-04  	-9.459763951270683E-03  	
2.630267991895380E+00 	2.127689455024350E-03  	-3.415359794190580E-04  	9.978570687110879E-01  	-1.615397970182520E-06  	9.720088869703021E-06  	2.120976913688099E-02  	8.357994925160809E-06  	1.799766392451200E+02  	9.978570687110879E-01  	-1.615397970182520E-06  	2.127866585210790E-03  	-3.441233628726090E-04  	8.473081448684226E-06  	1.799768906627810E+02  	9.580081297183220E-06  	2.161378884946071E-02  	9.720088869703021E-06  	2.120976913688099E-02  	8.473081448684226E-06  	1.799768906627810E+02  	1.254842339986500E-04  	-9.904895807937349E-03  	9.998584902367509E-01  	-1.368439561395770E-06  	8.357994925160809E-06  	1.799766392451200E+02  	9.580081297183220E-06  	2.161378884946071E-02  	9.998584902367509E-01  	-1.368439561395770E-06  	1.255243530231950E-04  	-9.905588882519677E-03  	
2.754228703338170E+00 	2.127689455027990E-03  	-3.576320742369889E-04  	9.978570687110880E-01  	-1.691529331038040E-06  	9.720088933948337E-06  	2.220935466293390E-02  	8.357994992160239E-06  	1.799755382867920E+02  	9.978570687110880E-01  	-1.691529331038040E-06  	2.127866585214490E-03  	-3.603413973159410E-04  	8.473081515151828E-06  	1.799758015533980E+02  	9.580081362938649E-06  	2.263241523225140E-02  	9.720088933948337E-06  	2.220935466293390E-02  	8.473081515151828E-06  	1.799758015533980E+02  	1.254842341794820E-04  	-1.037169915599860E-02  	9.998584902367510E-01  	-1.432932131019220E-06  	8.357994992160239E-06  	1.799755382867920E+02  	9.580081362938649E-06  	2.263241523225140E-02  	9.998584902367510E-01  	-1.432932131019220E-06  	1.255243532041100E-04  	-1.037242489417760E-02  	
2.884031503126610E+00 	2.127689455031980E-03  	-3.744867546330921E-04  	9.978570687110880E-01  	-1.771248652391280E-06  	9.720089004391919E-06  	2.325604918898351E-02  	8.357995065623659E-06  	1.799743854419160E+02  	9.978570687110880E-01  	-1.771248652391280E-06  	2.127866585218540E-03  	-3.773237641749379E-04  	8.473081588032119E-06  	1.799746611158890E+02  	9.580081435038049E-06  	2.369904798212610E-02  	9.720089004391919E-06  	2.325604918898351E-02  	8.473081588032119E-06  	1.799746611158890E+02  	1.254842343777590E-04  	-1.086050226660330E-02  	9.998584902367510E-01  	-1.500464141809000E-06  	8.357995065623659E-06  	1.799743854419160E+02  	9.580081435038049E-06  	2.369904798212610E-02  	9.998584902367510E-01  	-1.500464141809000E-06  	1.255243534024790E-04  	-1.086126220776650E-02  	
3.019951720402020E+00 	2.127689455036350E-03  	-3.921357716442549E-04  	9.978570687110879E-01  	-1.854725029610900E-06  	9.720089081631767E-06  	2.435207289165181E-02  	8.357995146174688E-06  	1.799731782651560E+02  	9.978570687110879E-01  	-1.854725029610900E-06  	2.127866585222980E-03  	-3.951064853265960E-04  	8.473081667943748E-06  	1.799734669312390E+02  	9.580081514093460E-06  	2.481594956718950E-02  	9.720089081631767E-06  	2.435207289165181E-02  	8.473081667943748E-06  	1.799734669312390E+02  	1.254842345951670E-04  	-1.137234195639890E-02  	9.998584902367510E-01  	-1.571178838214170E-06  	8.357995146174688E-06  	1.799731782651560E+02  	9.580081514093460E-06  	2.481594956718950E-02  	9.998584902367510E-01  	-1.571178838214170E-06  	1.255243536199861E-04  	-1.137313771248310E-02  	
3.162277660168380E+00 	2.127689455041150E-03  	-4.106165612018299E-04  	9.978570687110880E-01  	-1.942135527284730E-06  	9.720089166323590E-06  	2.549975058094320E-02  	8.357995234497136E-06  	1.799719141959350E+02  	9.978570687110880E-01  	-1.942135527284730E-06  	2.127866585227850E-03  	-4.137272803066710E-04  	8.473081755565120E-06  	1.799722164664240E+02  	9.580081600775995E-06  	2.598548908204630E-02  	9.720089166323590E-06  	2.549975058094320E-02  	8.473081755565120E-06  	1.799722164664240E+02  	1.254842348335490E-04  	-1.190830390566380E-02  	9.998584902367509E-01  	-1.645226215586670E-06  	8.357995234497136E-06  	1.799719141959350E+02  	9.580081600775995E-06  	2.598548908204630E-02  	9.998584902367509E-01  	-1.645226215586670E-06  	1.255243538584771E-04  	-1.190913716457359E-02  	
3.311311214825910E+00 	2.127689455046410E-03  	-4.299683235382601E-04  	9.978570687110879E-01  	-2.033665554797540E-06  	9.720089259186309E-06  	2.670151663141650E-02  	8.357995331340790E-06  	1.799705905529960E+02  	9.978570687110879E-01  	-2.033665554797540E-06  	2.127866585233190E-03  	-4.332256463178800E-04  	8.473081851640041E-06  	1.799709070690470E+02  	9.580081695821508E-06  	2.721014727290360E-02  	9.720089259186309E-06  	2.670151663141650E-02  	8.473081851640041E-06  	1.799709070690470E+02  	1.254842350949300E-04  	-1.246952496117410E-02  	9.998584902367510E-01  	-1.722763338341589E-06  	8.357995331340790E-06  	1.799705905529960E+02  	9.580081695821508E-06  	2.721014727290360E-02  	9.998584902367510E-01  	-1.722763338341589E-06  	1.255243541199780E-04  	-1.247039749036280E-02  	
3.467368504525320E+00 	2.127689455052180E-03  	-4.502321063360309E-04  	9.978570687110880E-01  	-2.129509259609171E-06  	9.720089361008261E-06  	2.795992014574950E-02  	8.357995437527730E-06  	1.799692045287200E+02  	9.978570687110880E-01  	-2.129509259609171E-06  	2.127866585239050E-03  	-4.536429420087571E-04  	8.473081956984099E-06  	1.799695359617050E+02  	9.580081800036840E-06  	2.849252179949109E-02  	9.720089361008261E-06  	2.795992014574950E-02  	8.473081956984099E-06  	1.799695359617050E+02  	1.254842353815280E-04  	-1.305719554760120E-02  	9.998584902367501E-01  	-1.803954673111849E-06  	8.357995437527730E-06  	1.799692045287200E+02  	9.580081800036840E-06  	2.849252179949109E-02  	9.998584902367501E-01  	-1.803954673111849E-06  	1.255243544067080E-04  	-1.305810919781960E-02  	
3.630780547701010E+00 	2.127689455058510E-03  	-4.714508917953049E-04  	9.978570687110880E-01  	-2.229869939067339E-06  	9.720089472653811E-06  	2.927763036164620E-02  	8.357995553959388E-06  	1.799677531831721E+02  	9.978570687110880E-01  	-2.229869939067339E-06  	2.127866585245470E-03  	-4.750224752008921E-04  	8.473082072491551E-06  	1.799681002361020E+02  	9.580081914306680E-06  	2.983533274496020E-02  	9.720089472653811E-06  	2.927763036164620E-02  	8.473082072491551E-06  	1.799681002361020E+02  	1.254842356957770E-04  	-1.367256219255400E-02  	9.998584902367501E-01  	-1.888972437603979E-06  	8.357995553959388E-06  	1.799677531831721E+02  	9.580081914306680E-06  	2.983533274496020E-02  	9.998584902367501E-01  	-1.888972437603979E-06  	1.255243547211020E-04  	-1.367351890177580E-02  	
